Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	
Weeteef Cyu-Bee (A)	RO	RO058_Weeteef_Cyu_Bee_A	L	Character	Talpini Partisan Rebel Soldier	6	40	4	4	R	58		Hidden Cost 3 | Stealth | Weeteef gets Double Damage when attacking an Imperial.	
When Has Become Now	RO	RO059_When_Has_Become_Now	D	Battle						R	59		Pay 1 Force, tap one of your Officers -> Get the effect of one of that Officer's triggered abilities. That ability can't be triggered until end of turn.	
Yavin System 	RO	RO060_Yavin_System	L	Location	Space - Rebel Yavin Star System	4				R	60		Hidden Cost 2 | Each of your Rebels gets Damage Control 1 and can't lose Damage Control.	
A180 Blaster Pistol	RO	RO061_A180_Blaster_Pistol	L	Equipment	Character - Blaster Weapon	2				U	61		Pay 2 build points -> Equip | Equipped Character gets Critical Hit 2 when attacking a unique unit. | Equipped Officer or Soldier also gets +1 power and "Tap, Discard a card from your hand -> Put 2 damage counters on a non-unique unit in the Ground or Character arena. Play only when this unit would attack."	
Admiral Raddus (B)	RO	RO062_Admiral_Raddus_B	L	Character	Mon Calamari Rebel Officer	5	20	2	4	U	62		INSERT: Raddus gets +1 health for each other Mon Calamari Pilot piloting a Space unit. | Capital Ship and Fleet Pilot. The Capital Ship or Fleet gets:  -Overkill  -Put 1 damage counter on this unit -> Put 2 damage counters on one of your opponent's Space units. Play only when no unit is attacking.	
Assault on Scarif	RO	RO063_Assault_on_Scarif	N	Mission - Campaign		2				U	63		When each turn starts, if you put 2 or more Subordinates into any arena last turn, choose an arena. Each of your Subordinates in the chosen arena gets +1 power, Precision, and "Attacks from this unit can't be disrupted." until end of turn.	
AT-ACT	RO	RO064_AT_ACT	D	Ground	Imperial Walker	7	40	4	5	U	64		Armor | Double Strike | Tap -> Gain 1 build point. Play only if you have an Imperial Officer in any arena and only during your build step.	
Bail Organa (E)	RO	RO065_Bail_Organa_E	L	Character	Alderranian Diplomat - Rebel Officer	4	30	2	4	U	65		Tap -> Untap Princess Leia. Play only when Bail would attack. | Tap Princess Leia -> Prevent all damage to Bail. | Pay 0 Force -> Protect 1	
Baze Malbus (B)	RO	RO066_Baze_Malbus_B	L	Ground/Character	Rogue One Rebel Soldier -Jedha Guardian 	7	40	4	5	U	66		Armor | As long as Chirrut Imwe is in any arena, Baze gets Double Strike. | INSERT: Avenge 1	
Baze Malbus's Heavy Repeater Cannon (A)	RO	RO067_Baze_Malbus_s_Heavy_Repeater_Cannon_A	L	Equipment	Ground/Character - Blaster Weapon	3				U	67		Pay 1 build point -> Equip | Equipped Rebel gets +2 power and loses Stealth. | Equipped Baze Malbus also gets Accuracy 1, Overkill, and "Baze can't lose power."	
Bodhi Rook (A)	RO	RO068_Bodhi_Rook_A	L	Character	Rogue One Rebel Soldier - Spy 	5	40	3	4	U	68		Stealth | Resilience 1 (As long as Bodhi has at least 1 damage counter on him, he gets +1 power.) | Tap -> Discard the top 2 cards from your opponent's deck. Play only when Bodhi would attack.	
Captain Cassian Andor (B)	RO	RO069_Captain_Cassian_Andor_B	L	Character	Rogue One Rebel Officer - Assassin	7	40	4	4	U	69		Fury 2 | Stealth | Tap -> Put 3 damage counters on a non-Sith Character. Play only when Cassian would attack.	
Captain Kado Oquone (A)	RO	RO070_Captain_Kado_Oquone	L	Character	Rebel Officer	6	50	4	4	U	70		Capital Ship Pilot. The Capital Ship gets:  -+20 speed  -Tap, Put 2 damage counters on this unit -> Put 4 damage counters on one of your opponent's units in the Space arena. Play only when this unit would attack.	
Chirrut Inwe (B)	RO	RO071_Chirrut_Imwe_B	L	Ground/Character	Rogue One Rebel - Jedha Guardian	7	40	4	5	U	71		Treat Chirrut as a Force Sensitive Warrior. | Foresight: Gain 2 Force. | Parry 2 | INSERT: Precision	
Chirrut Inwe's Lightbow Bowcaster (A)	RO	RO072_Chirrut_Imwe_s_Lightbow_Bowcaster_A	L	Equipment	Ground/Character - Blaster Weapon	2				U	72		Pay 1 build point, 1 Force -> Equip | Equipped Character gets +1 power and Critical Hit 1. | Equipped Chirrut Inwe also gets Focus 1 and "Chirrut can attack units in the Ground and Character arena."	
Corporal Bistan (A)	RO	RO073_Corporal_Bistan_A	L	Character	Irkaru Rebel Officer	5	30	4	3	U	73		Gunship Pilot. The Gunship gets:  - +1 power  - Lucky 1   -This unit gets Critical Hit 3 when attacking a Walker.	
Corporal Pao (A)	RO	RO074_Corporal_Pao_A	L	Character	Drabatan Rogue One Rebel Officer	6	40	4	5	U	74		Fury 2 | Resilience 2 (As long as Pao has at least 2 damage counters on him, he gets +2 power.) | Pay 1 Force -> Retaliate 2	
Darth Vader (B2)	RO	RO075_Darth_Vader_B2	D	Character	Imperial Dark Jedi Knight - Sith Lord	7	40	5	5	U	75		Armor | Each of your opponent's Characters gets Resilience -1. (As long as this unit has at least 1 damage counter on it, it gets -1 power.) | Pay 1 Force -> Evade 1 and your opponent loses 1 Force.	
Death Star (F)	RO	RO076_Death_Star_F	D	Space	Imperial Battle Station	10	10	8	12	U	76		Each Starfighter gets Critical Hit 2 when attacking the Death Star. | Bombard 8 | Tap -> Discard a Location from any arena. Play only when the Death Star would attack. | INSERT: Pay 1 build point -> Remove up to 2 damage counters from the Death Star. Play only during your build step.	
Devastator's Arrival	RO	RO077_Devastator_s_Arrival	D	Mission - Trap		1				U	77		As long as Darth Vader is in any arena, Devastator's Arrival can't be disrupted. | When you deploy a Capital Ship to the Space arena, choose one: Tap that Capital Ship, and it attacks one of your opponent's units in the Space arena. Or:  Put 1 damage counter on each of your opponent's units in the Space arena.	
Director Orson Krennic (B)	RO	RO078_Director_Orson_Krennic_B	D	Character	Imperial Officer	7	40	4	5	U	78		Each of your Battle Stations costs 2 less build counters to deploy. | Tap -> Search your deck for a Scientist unit card, show it to your opponent, and put it into your hand. Shuffle your deck. Play only during your build step.	
Director Orson Krennic (C)	RO	RO079_Director_Orson_Krennic_C	D	Character	Imperial Officer	6	50	5	4	U	79		When you deploy Orson or whenever your opponent deploys a unit using Alternative Cost or Hidden Cost, you may pay 1 Force and discard a card from your hand. If you do, take 1 50/3/3 Scarif Guard Squad Subordinate with "Focus 1" and put it into the Ground arena. Return one of your Subordinates to your supply -> Evade 4	
DLT-19D Heavy Blaster Rifle	RO	RO080_DLT_19D_Heavy_Blaster_Rifle	D	Equipment	Character - Blaster Weapon	2				U	80		Pay 2 build points -> Equip | Equipped Stormtrooper gets Fury 3 and "This unit can attack units in the Ground arena."	
Erso Family (A)	RO	RO081_Erso_Family_A	N	Ground	Independent Squad	4	30	3	5	U	81		Stack: Any Character with "Erso" in its name. | Alternative Cost: Pay 2 Force, tap one of your Characters with "Erso" in its name. | Tap -> Draw 2 cards and discard a card from your hand. Play only during your build step.	
Galen Erso (B)	RO	RO082_Galen_Erso_B	N	Character	Imperial Scientist - Spy	5	40	2	5	U	82		Upkeep: Do 1 damage to Galen or tap him. | When your build step starts, you may choose one: Each of your Scientists costs 1 less build counter to deploy until end of turn. Or:  Each of your Rogue One units gets Resilience 1 (As long as this unit has at least 1 damage counter on it, it gets +1 power.) until end of turn. Or: Put 2 damage counters on a Battle Station.	
Galen's Trap	RO	RO083_Galen_s_Trap	L	Mission - Trap		2				U	83		When one of your units damages one of your opponent's Battle Stations or Capital Ships (after damage prevention), double the number of damage counters on that Battle Station or Capital Ship.	
Gold Squadron (B)	RO	RO084_Gold_Squadron_B	L	Space	Rebel Squadron	7	50	6	5	U	84		Focus 2 | As long as Gold Squadron has a Pilot, it gets Accuracy 1 and Precision. | Bombard 3	
Grand Moff Tarkin (H)	RO	RO085_Grand_Moff_Tarkin_H	D	Character	Imperial Officer	5	30	3	4	U	85		Alternative Cost: Pay 1 build point, discard one of your Imperial Officers from any arena. | INSERT: As long as you have the Death Star in any arena or your build zone, each of your opponent's Missions costs 1 more build counter to complete.	
Grand Moff Tarkin (I)	RO	RO086_Grand_Moff_Tarkin_I	D	Character	Imperial Officer	4	30	3	3	U	86		Battle Station Pilot. The Battle Station gets:  -Focus X+1, where X is the number of mastery counters on this unit.  -When your build step starts, you may move up to 2 mastery counters from one of your Imperials to this unit.	
Guardians of the Whills	RO	RO087_Guardians_of_the_Whills	L	Resource		3				U	87		Add 2 counters -> Each player gains 1 Force. | Add 2 counters -> Draw a card and discard a card from your hand. Play only during your build step. | Remove 4 counters -> One of your Force Sensitives or Jedha Guardians gets "Pay 0 Force -> Intercept" and "Pay X Force -> Protect X" until end of turn.	
Imperial Assault Tank Driver	RO	RO088_Imperial_Assault_Tank_Driver	D	Character	Imperial Stormtrooper	4	30	2	3	U	88		Armor | Tank Pilot. The Tank gets:  -+20 speed  -Accuracy 1  -Precision	
Imperial Boarding Party	RO	RO089_Imperial_Boarding_Party	D	Space	Imperial Transport - Squadron	8	40	5	6	U	89		Tap one of your opponent's Space units, discard this unit from the Space arena -> Search your deck for any number of Imperial Ground and/or Character unit cards with combined total build cost 8 or less and put them into their arenas. Play only when this unit would attack.	
Imperial Kyber Refinery	RO	RO090_Imperial_Kyber_Refinery	D	Resource		4				U	90		Add 2 counters -> One of your Battle Stations gets +1 power for this attack. | Remove 10 counters -> Untap one of your Battle Stations. This effect can't be disrupted. Play only when no unit is attacking.	
Imperial Navy (A)	RO	RO091_Imperial_Navy_A	D	Space	Imperial Fleet	16	10	14	10	U	91		Shields 1 | Resilience 2 (As long as Imperial Navy has at least 2 damage counters on it, it gets +2 power.) | When the battle phase starts, take 2 50/3/2 Imperial Mixed Fighter Group Subordinates with "When the battle phase ends, return this unit to your supply." and put them into the Space arena. | Overkill	
Impersonation	RO	RO092_Impersonation	N	Equipment	Space/Ground/Character - Skill	1				U	92		Discard a card from your hand -> Equip | Equipped unit gets "Bounty: Discard a card at random from your opponent's hand." and "When the battle phase starts, you may choose one of your opponent's units in this arena. If you do, this unit gets the chosen unit's complete subtype and one of its activated abilities until end of turn."	
Intelligence	RO	RO093_Intelligence	N	Equipment	Space/Ground/Character - Trait	1				U	93		When you look at your opponent's hand, attach this Trait to one of your units. | Equipped unit gets Focus X, where X is the number of Traits attached to this unit.	
Jyn Erso (B)	RO	RO094_Jyn_Erso_B	L	Character	Rogue One Rebel Soldier	7	60	5	4	U	94		Lucky 2 | Resilience 1 (As long as Jyn has at least 1 damage counter on her, she gets +1 power.) | When the battle phase starts, you may choose an ability on another card in Jyn's stack. If you do, Jyn gets the chosen ability until end of turn.	
Jyn Erso (C)	RO	RO095_Jyn_Erso_C	L	Character	Rogue One Rebel Soldier	6	40	4	5	U	95		Stealth | Discard a card from your hand -> Search your opponent's deck for a Battle Station unit card and remove it from the game. If your opponent has no Battle Station unit cards there, you may discard a non-unit card from his or her deck. Your opponent shuffles his or her deck. Play only when no unit is attacking.	
K-2SO (B)	RO	RO096_K_2SO_B	L	Ground/Character	Rogue One Rebel Droid	7	30	5	6	U	96		Armor | As long as you have another Rogue One unit in this arena, K-2SO gets Overkill. | Put 1 damage counter on K-2SO -> Protect 2	
Mustafar Rejuvenation Chamber	RO	RO097_Mustafar_Rejuvenation_Chamber	D	Location	Character - Imperial Sith Mustafar Volcanic Facility	1				U	97		When your build step starts, you may remove 1 damage counter from one of your Sith characters. You may also pay 1 build point. If you do, remove 1 more damage counter from that Character.	
Operation Fracture	RO	RO098_Operation_Fracture	N	Mission - Trap		2				U	98		When the battle phase starts, if there are 5 or more build counters on a card in your opponent's build zone, search your deck for a Scientist unit card and put it into its arena untapped with 1 damage counter on it. Shuffle your deck.	
Orson's Death Trooper Team (B)	RO	RO099_Orson_s_Death_Trooper_Team_B	D	Ground	Imperial Stormtrooper Bodyguard Squad	7	40	5	4	U	99		Stealth | Whenever damage from an attacking unit causes one of your Stormtroopers to be discarded, you may tap one of your Officers. If you do, take 1 30/4/3 Death Trooper Subordinate and put it into the Ground or Character arena. | Tap -> Ambush 5	
Partisan Headquarters	RO	RO100_Partisan_Headquarters	L	Location	Ground - Partisan Rebel Jedha Desert Facility	3				U	100		When your build step starts, you may search your deck for a Partisan unit card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck.	
Profundity (B)	RO	RO101_Profundity_B	L	Space	Mon Calamari Rebel Capital Ship - Flagship	8	20	6	6	U	101		Profundity can have up to 3 Pilots. | Shields 1 | Each of your Rebel Squadrons costs 1 less build counter to deploy. | Pay 3 Force -> Take 1 60/3/2 Rebel Attack Squadron Subordinate with "Precision" and put it into the Space arena. Play only during the Space battle step.	
Rebel Distraction	RO	RO102_Rebel_Distraction	L	Mission - Trap		1				U	102		When you deploy a Rebel to the Ground arena, choose one: Tap that Rebel, and it attacks one of your opponent's units in the Ground arena. Or: Put 1 damage counter on each of your opponent's units in the Ground arena.	
Rebel Marine Defense Team	RO	RO103_Rebel_Marine_Defense_Team	L	Ground/Character	Rebel Soldier Squad	7	50	4	6	U	103		Focus 7 | Precision | When this unit is discarded from this arena, you may add 1 counter to your Resource. | Discard this unit from this arena -> Choose one: Disrupt an activated ability. Or: Disrupt a Battle card.	
Rebel Navy (A)	RO	RO104_Rebel_Navy_A	L	Space	Rebel Fleet	16	20	10	14	U	104		Shields 1 | Resilience 2 (As long as Rebel Navy has at least 2 damage counters on it, it gets +2 power.) | When the battle phase starts, take 2 50/3/2 Rebel Mixed Fighter Group Subordinates with "When the battle phase ends, return this unit to your supply." and put them into the Space arena. | Overkill	
Rogue One Strike Team (B)	RO	RO105_Rogue_One_Strike_Team_B	L	Ground	Rogue One Rebel Solider Squad	6	50	6	5	U	105		Resilience 2 (As long as Rogue One Strike Team has at least 2 damage counters on it, it gets +2 power.) | When you deploy Rogue One Strike Team, you may pay 3 Force. If you do, take 50/2/2 Rebel Striker Subordinate with "Double Strike" and put it into the Character arena. | Each of your Subordinates gets +10 speed.	
Saw's Partisans	RO	RO106_Saw_s_Partisans	L	Ground	Twi'lek Partisan Rebel Squad	6	40	5	5	U	106		Hidden Cost 4 | Tap -> Tap one of your opponent's non-Sith Characters with 2 or more captivity counters on it. Play only when this unit would attack. | Pay 2 build points -> Take 1 60/2/2 Partisan Rebel Subordinate with "Foresight: Put 1 captivity counter on the defending unit." and put it into the Character arena. Play only during your build step.	
Scarif Base	RO	RO107_Scarif_Base	D	Location	Ground - Imperial Scarif Tropical Facility	2				U	107		Each of your Scientists costs 1 less build counter to deploy.	
Scarif System	RO	RO108_Scarif_System	N	Location	Space - Imperial Scarif Star System	1				U	108		When each player's build step starts, he or she may search his or her deck for a Space or Ground unit card. If that player does, he or she shows it to his or her opponent and puts it into his or her hand. That player shuffles his or her deck.	
Scrambling the Squadrons	RO	RO109_Scrambling_the_Squadrons	L	Mission		3				U	109		Search your deck for up to 2 Squadron unit cards and up to 2 unit cards with a Pilot ability, show them to your opponent, and put them into your hand. Shuffle your deck.	
Shoretrooper Squad Leader	RO	RO110_Shoretrooper_Squad_Leader	D	Character	Imperial Tropical Stormtrooper Officer	5	40	4	4	U	110		Armor | When you deploy this unit, you may pay 3 Force. If you do, take 1 40/3/3 Shoretrooper Squad Subordinate with "Armor" and put it into the Ground arena. | Tap -> Untap one of your Subordinates in the Ground or Character arena. That Subordinate gets +1 power for its next attack.	
Spirit of Rebellion	RO	RO111_Spirit_of_Rebellion	L	Battle						U	111		Pay 5 Force -> Choose an arena and choose one: Each of your Rebels in the chosen arena gets +1 power and Precision until end of turn. Or: Each of your Rebels in the chosen arena gets "Pay 0 Force -> Protect 1" until end of turn. Or: Tap one of your opponent's Imperials in the chosen arena.	
Sw-0608 (B)	RO	RO0112_SW_0608_B	L	Space/Ground	Rogue One Rebel Transport	7	40	2	4	U	112		Switch: Stealth/Damage Control 1 | SW-0608 can have up to 2 Pilots. | When you deploy SW-0608, you may reveal a partially built Rogue One Character unit card in your build zone to your opponent. If you do, put 2 build counters on the revealed card. | INSERT: Avenge 2	
Tarkin Initiative	RO	RO113_Tarkin_Initiative	D	Mission - Campaign		2				U	113		When each turn starts, if the Death Star caused one of your opponent's units to be discarded this turn, the Death Star gets Accuracy 1 and Overkill until end of turn.	
Tarkin's Triumph 	RO	RO114_Tarkin_s_Triumph	D	Mission		3				U	114		Search your deck for up to 2 Battle Station unit cards and up to 2 Officer unit cards, show them to your opponent, and put them into your hand. Shuffle your deck.	
These are Prisoners	RO	RO115_These_are_Prisoners	L	Battle						U	115		Tap one of your Characters, put 1 captivity counter on it -> That Character can't be attacked until end of turn. Play only if you have more than 1 unit in the Character arena and only when no unit is attacking.	
TIE Striker Squadron	RO	RO116_TIE_Striker_Squadron	D	Space/Ground	Imperial Squadron	7	60	3	4	U	116		Switch: +1 health/+10 speed, Fury 1 | Precision | Double Strike | Pay 2 Force -> Ambush 2	
TX-225 GAVw Assault Tank	RO	RO117_TX_225_GAVw_Assault_Tank	D	Ground	Imperial Tank	5	30	3	4	U	117		Double Damage | Armor | Overkill	
Tynnra Pamla (A)	RO	RO118_Tynnra_Pamlo_A	L	Character	Tarisian Rebel Diplomat	4	30	1	3	U	118		Reserves: Tap -> Choose the Space or Ground arena. Retreat up to 2 of your Rebels from the chosen arena. Draw a card for each unit retreated this way. Play only when the battle phase starts.	
U-wing	RO	RO0119_U_wing	L	Space/Ground	Rebel Gunship - Transport	7	40	5	5	U	119		Switch: Bombard 3/+10 speed, Stun 1 | Overkill | Discard 2 cards from your hand, discard this unit from the Ground arena -> Search your deck for any number of Rebel Ground and/or Character unit cards with combined total build cost 7 or less and put them into their arenas. Play only when no unit is attacking.	
Vague and Unconvincing	RO	RO120_Vague_and_Unconvincing	N	Mission - Trap		1				U	120		When your opponent searches for any number of cards and would put one of them into his or her hand, discard that card instead. You may also remove Vague and Unconvincing from the game. If you do, remove that card from the game.	
Assault on Eadu	RO	RO121_Assault_on_Eadu	L	Mission - Campaign		2				C	121		When each turn starts,  if you have more units in the Space arena than your opponent, each of your Rebel Space and Ground units gets Resilience 1 (As long as this unit has at least 1 damage counter on it, it gets +1 power.), and each of your opponent's Battle Stations gets "Upkeep: Discard a card at random from your hand." until end of turn.	
AT-ACT Driver	RO	RO122_AT_ACT_Driver	D	Character	Imperial Stormtrooper	4	20	3	3	C	122		Walker Pilot. The Walker gets:  -Precision  -Resilience 2 (As long as this unit has at least 2 damage counters on it, it gets +2 power.) - Pay 1 build point -> Search your deck for a Walker unit card, show it to your opponent, and put it into your hand. Shuffle your deck. Play only during your build step.	
AT-ST Pacification Team	RO	RO123_AT_ST_Pacification_Team	D	Ground	Imperial Walker - Stormtrooper Squad	6	50	5	4	C	123		Armor | As long as you have Imperial Officer in any arena, this unit gets Stun X, where X is the number of units your opponent has in the Ground arena.	
Bodhi Rook (B)	RO	RO124_Bodhi_Rook_B	L	Character	Rogue One Rebel Soldier - Spy 	4	30	3	3	C	124		When you deploy Bodhi, you may look at your opponent's hand. | Transport Pilot. The Transport gets:  -This unit can have up to 2 Pilots. | Focus 1 | Whenever an Imperial attacks this unit, roll a die. If you roll a 6, the attack ends.	
Call Sign Rogue One	RO	RO125_Call_Sign_Rogue_One	L	Mission		1				C	125		One of your units gets the Rogue One subtype until end of game.	
Captain Cassian Andor (C)	RO	RO126_Captain_Cassian_Andor_C	L	Character	Rogue One Rebel Officer	5	40	4	4	C	126		Accuracy 1 | Transport Pilot. The Transport gets:  -+10 speed  -Resilience 2 (As long as this unit has at least 2 damage counters on it, it gets +2 power.)	
Chirrut Inwe's Staff (A)	RO	RO127_Chirrut_Imwe_s_Staff_A	L	Equipment	Character - Melee Weapon	1				C	127		Pay 1 build point -> Equip | Equipped Character gets +1 power. | Equipped Chirrut Inwe also gets "Bounty: Gain 1 Force." and Overkill.	
Confidence	RO	RO128_Confidence	D	Equipment	Space/Ground/Character - Trait	1				C	128		When one of your units causes a unit to be discarded, attach this Trait to that unit of yours. | Equipped unit gets Fury 3 and "Whenever this unit attacks and does no damage (after damage prevention), put 1 damage counter on it."	
Courage	RO	RO129_Courage	L	Equipment	Space/Ground/Character - Trait	1				C	129		When one of your units damages one of your opponent's units with a higher total build cost (after damage prevention), attach this Trait to that unit of yours. | Equipped unit gets +10 speed and Critical Hit 1.	
Dauntless (A)	RO	RO130_Dauntless_A	D	Space 	Imperial Capital Ship	6	30	7	6	C	130		Upkeep: Discard a card from your hand or tap Dauntless. | Precision | Shields 1	
Defining Trait	RO	RO131_Defining_Trait	N	Mission		1				C	131		Search your deck for a Trait card, show it to your opponent, and put it into your hand. Shuffle your deck.	
Director Orson Krennic (D)	RO	RO132_Director_Orson_Krennic_D	D	Character	Imperial Officer	5	50	3	5	C	132		Whenever you complete a Mission, put 1 mastery counter on Orson. | Pay 0 Force -> Retaliate X, where X is the number of mastery counters on Orson. | INSERT: Fury 1	
Disciples of Whills	RO	RO133_Disciples_of_the_Whills	L	Ground	Anomid Jedha Squad	3	20	2	2	C	133		Treat this unit as a Force Sensitive. | Reserves: Tap -> Gain 1 Force. | Reserves: Remove 1 counter from your Resource -> Gain 1 Force.	
Doctor Evazan (B)	RO	RO134_Doctor_Evazan_B	N	Character	Mad Scientist	5	30	4	4	C	134		Upkeep: Put 1 damage counter on Evazan. | Resilience 1 (As long as Evanzan has at least 1 damage counter on him, he gets +1 power.) | Whenever a unit damages Evazan (after damage prevention), Evazan gets Fury 1 for his next attack.	
DT-29 Blaster	RO	RO135_DT_29_Blaster	D	Equipment	Character - Blaster Weapon	1				C	135		Pay 2 build points -> Equip | Equipped Character gets Critical Hit 2 and "Whenever this unit attacks, roll a die. If you roll a 6, this unit doesn't untap during your next untap step unless you discard a card from your hand." | Equipped Officer also gets Accuracy 1	
Eadu System	RO	RO136_Eadu_System	D	Location	Space - Imperial Eadu Star System	2				C	136		Alternative Cost: Remove 2 counters from your Resource. | When your build step starts, choose one: Put 1 credit counter on this Location. Or: Remove X credit counters from this Location -> One of your Battle Stations gets +X power for its next attack.	
Erso Homestead	RO	RO137_Erso_Homestead	N	Location	Character - Lah'mu Farmer Home	2				C	137		When your build step starts, you may search your deck for a unit card with "Erso" in its name. If you do, show it to your opponent and put it into your hand. Shuffle you deck.	
Escape from Custody	RO	RO138_Escape_from_Custody	N	Mission		3				C	138		Remove all captivity counters from one of your units. If you removed 2 or more captivity counters this way, also gain 2 build points. If you removed 4 or more captivity counters this way, gain 2 more build points.	
Garven Dreis (B)	RO	RO139_Garven_Dreis_B	L	Character	Rebel Officer	3	30	2	3	C	139		Squadron Pilot. The Squadron gets:  - Focus 1  - Resilience 1 (As long as this unit has at least 1 damage counter on it, it gets +1 power.)   - Pay 1 build point -> Search your deck for a Squadron unit card, show it to your opponent, and put it into your hand. Shuffle your deck. Play only during your build steps.	
General Hurst Romodi (A)	RO	RO140_General_Hurst_Romodi_A	D	Character	Imperial Officer	5	20	3	4	C	140		Focus X, where X is the number of mastery counters on Hurst. | Whenever one of your Battle Stations attacks, put 1 mastery counter on Hurst. | Each of your Battle Stations gets "Attacks from this unit can't be disrupted."	
General Jan Dodonna (B)	RO	RO141_General_Jan_Dodonna_B	L	Character	Rebel Officer	4	30	2	4	C	141		Tap -> Choose one: Search your deck for a Star System card, show it to your opponent, and put it into your hand. Shuffle your deck. Play only during your build step. Or:  Untap one of your Subordinates in the Space arena.	
Going to See Saw	RO	RO142_Going_to_See_Saw	N	Mission		0				C	142		To complete Going to See Saw, you must also tap one of your Characters. | Return a Character unit card from your discard pile to your hand. If that unit card is Saw Gerrera, you may also return Going to See Saw to your hand.	
HCVw A9 Prison Transport	RO	RO143_HCVw_A9_Prison_Transport	D	Ground	Imperial Transport Tank	6	30	4	5	C	143		Tap -> Take 1 50/2/1 Stormtrooper Cell Guard Subordinate with "Whenever this unit damages a unit (after damage prevention), put 1 captivity counter on that unit." and put it into the Character arena. Play only during your build step. | Pay 1 build point, remove 1 captivity counter from a Character -> Tap that Character. Play only during your build step.	
Imperial Scientists	RO	RO144_Imperial_Scientists	D	Ground	Imperial Scientist Squad	3	30	0	3	C	144		When this unit is discarded from the Ground arena, you may reveal a partially built Battle Station unit card in your build zone to your opponent. If you do, put 1 build counter on it. | Reserves: Tap -> Reveal a partially build Battle Station unit card in your build zone to your opponent and put 1 build counter on it. Play only during your build step.	
Jedha Ambush Team	RO	RO145_Jedha_Ambush_Team	L	Ground	Partisan Rebel Squad	5	60	4	4	C	145		Whenever you complete a Trap, you may pay 4 Force. If you do, take 1 40/3/3 Partisan Ambusher Subordinate with "Pay 0 Force -> Ambush 1" and put it into the Character arena. | Pay 0 Force -> Ambush 1	
Jedha City Ambush	RO	RO146_Jedha_City_Ambush	L	Mission - Trap		3				C	146		Choose one: when your opponent deploys a unit to the Ground arena, do 5 dice of damage to it. That unit can't retreat until end of turn. | Or: When your opponent deploys an Imperial to the Ground arena, take a Subordinate with the Partisan subtype and put it into its arena.	
Jedha Imperial Garrison	RO	RO147_Jedha_Imperial_Garrison	D	Ground	Imperial Stormtrooper Squad	5	40	4	4	C	147		Bounty: Gain 1 build point. | This unit gets +1 power and Focus 1 when attacking a Rebel.	
Jedha Insurgency	RO	RO148_Jedha_Insurgency	L 	Mission - Campaign		2				C	148		When each turn starts, if you have 2 or more Partisans in any arena, each of your Partisans wins ties for speed and gets Precision and "Whenever this unit attacks, you may give it +2 power for that attack. If you do, it does 2 dice of damage to itself when the attack ends." until end of turn.	
Jon "Dutch" Vander (B)	RO	RO149_Jon_Dutch_Vander_B	L	Character	Rebel Officer	5	30	3	3	C	149		Squadron Pilot. The Squadron gets:  -Focus 1   -Each of your other Space units gets +1 power and Focus 1 when attacking a Fortification or unit with Shields.	
Jyn Erso (D)	RO	RO150_Jyn_Erso_D	N	Character	Independent Farmer Child	3	30	2	2	C	150		Remove Jyn from the Character arena from the game -> Search your deck for a Jyn Erso unit card, show it to your opponent, and put it into your build zone with 3 build counters on it. Shuffle your deck. Play only when no unit is attacking. | Put 1 damage counter on Galen Erso or Lyra Erso -> Evade 2	
Jyn Erso's Kyber Pendant (A)	RO	RO151_Jyn_Erso_s_Kyber_Pendant_A	L	Equipment	Character - Jewelry Device	0				C	151		Pay 1 build point, 1 Force -> Equip | Equipped Character gets "Detach Jyn Erso's Kyber Pendant from this unit -> Look at the top or bottom card of your deck. You may put that card into your hand." | Equipped Jen Erso also gets Lucky 2.	
Jyn's Dream	RO	RO152_Jyn_s_Dream	L	Battle						C	152		One of your Characters gets "Pay 1 Force -> Protect 1" until end of game.	
K-2SO (C)	RO	RO153_K_2SO_C	L	Character	Rogue One Rebel Droid	5	30	4	4	C	153		Armor | Transport Pilot. The Transport gets:  -+10 speed  -Damage Control 1  -Stun 1	
KX-Series Security Droid	RO	RO154_KX_Series_Security_Droid	D	Character	Imperial Droid	4	30	4	3	C	154		Armor | Put 1 damage counter on this unit -> Protect 1	
Lah'mu System	RO	RO155_Lah_mu_System	N	Location	Space - Lah'mu Star System	2				C	155		When your build step starts, you may search your deck for a Scientist unit card. If you do, show it to your opponent and put it into your hand. Shuffle your deck.	
Lies and Deceptions	RO	RO156_Lies_and_Deceptions	N	Mission - Trap		1				C	156		Choose one: When the turn ends, put 1 captivity counter on a Character. | Or: When you put any number of captivity counters on a Character, look at your opponent's hand. If there are any non-unit cards there, discard one of them.	
Long Ride Ahead	RO	RO157_Long_Ride_Ahead	L	Battle						C	157		Discard a card from your hand, retreat one of your Characters -> Prevent all damage to that Character. | Enhance: Discard 1 more card from your hand -> Also remove up to 2 damage counters from that Character.	
Lyra Erso (A)	RO	RO158_Lyra_Erso_A	N	Character	Independent Farmer	3	30	2	3	C	158		Galen Erso loses Upkeep. | Discard Lyra from the Character arena -> Choose one: Search your deck and/or discard pile for a Jyn Erso unit card, show it to your opponent, and put it into your hand. Shuffle your deck. Play only during your build step. Or: Prevent up to 3 damage to Galen Erso or Jyn Erso.	
